CODMUNNASC;ESTADO;ANO;CONSPRENAT_INCOMPLETOS;CONSPRENAT_TOTAIS;ESCMAE_INCOMPLETOS;ESCMAE_TOTAIS;GESTACAO_INCOMPLETOS;GESTACAO_TOTAIS;IDADEMAE_INCOMPLETOS;IDADEMAE_TOTAIS;MESPRENAT_INCOMPLETOS;MESPRENAT_TOTAIS;PARTO_INCOMPLETOS;PARTO_TOTAIS;PESO_INCOMPLETOS;PESO_TOTAIS;QTDPARTCES_INCOMPLETOS;QTDPARTCES_TOTAIS;QTDPARTNOR_INCOMPLETOS;QTDPARTNOR_TOTAIS;RACACOR_INCOMPLETOS;RACACOR_TOTAIS;SEMAGESTAC_INCOMPLETOS;SEMAGESTAC_TOTAIS;TPROBSON_INCOMPLETOS;TPROBSON_TOTAIS
110000;RO;2014;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1
110001;AM;2018;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
110001;GO;2012;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
110001;MS;2013;NA;NA;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;NA;NA
110001;MS;2020;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
110001;MT;2014;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
110001;MT;2018;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3
110001;MT;2019;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
110001;PR;2014;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
110001;PR;2015;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
110001;RO;2012;0;257;0;257;0;257;0;257;0;257;0;257;0;257;0;257;0;257;0;257;0;257;7;257
110001;RO;2013;NA;NA;1;197;0;197;0;197;0;197;0;197;0;197;0;197;0;197;0;197;0;197;NA;NA
110001;RO;2014;0;183;2;183;0;183;0;183;0;183;0;183;0;183;0;183;0;183;23;183;0;183;1;183
110001;RO;2015;0;97;0;97;0;97;0;97;0;97;0;97;0;97;0;97;0;97;0;97;0;97;4;97
110001;RO;2016;0;102;2;102;0;102;0;102;0;102;0;102;0;102;0;102;0;102;0;102;0;102;5;102
110001;RO;2017;0;132;6;132;2;132;0;132;0;132;0;132;0;132;0;132;0;132;0;132;0;132;19;132
110001;RO;2018;0;202;24;202;0;202;0;202;0;202;0;202;0;202;0;202;0;202;0;202;0;202;1;202
