"codmunres","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude"
110001,"Alta Floresta D'Oeste","RO","Norte",11005,"Zona da Mata",1101,"Macrorregional II (Cacoal)"
110002,"Ariquemes","RO","Norte",11001,"Vale do Jamari",1102,"Macrorregiao I - Porto Velho"
110003,"Cabixi","RO","Norte",11006,"Cone Sul",1101,"Macrorregional II (Cacoal)"
110004,"Cacoal","RO","Norte",11002,"Café",1101,"Macrorregional II (Cacoal)"
110005,"Cerejeiras","RO","Norte",11006,"Cone Sul",1101,"Macrorregional II (Cacoal)"
110006,"Colorado do Oeste","RO","Norte",11006,"Cone Sul",1101,"Macrorregional II (Cacoal)"
110007,"Corumbiara","RO","Norte",11006,"Cone Sul",1101,"Macrorregional II (Cacoal)"
110008,"Costa Marques","RO","Norte",11007,"Vale do Guaporé",1101,"Macrorregional II (Cacoal)"
110009,"Espigão D'Oeste","RO","Norte",11002,"Café",1101,"Macrorregional II (Cacoal)"
110010,"Guajará-Mirim","RO","Norte",11004,"Madeira-Mamoré",1102,"Macrorregiao I - Porto Velho"
110011,"Jaru","RO","Norte",11003,"Central",1102,"Macrorregiao I - Porto Velho"
110012,"Ji-Paraná","RO","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)"
110013,"Machadinho D'Oeste","RO","Norte",11001,"Vale do Jamari",1102,"Macrorregiao I - Porto Velho"
110014,"Nova Brasilândia D'Oeste","RO","Norte",11005,"Zona da Mata",1101,"Macrorregional II (Cacoal)"
110015,"Ouro Preto do Oeste","RO","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)"
110018,"Pimenta Bueno","RO","Norte",11002,"Café",1101,"Macrorregional II (Cacoal)"
110020,"Porto Velho","RO","Norte",11004,"Madeira-Mamoré",1102,"Macrorregiao I - Porto Velho"
110025,"Presidente Médici","RO","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)"
110026,"Rio Crespo","RO","Norte",11001,"Vale do Jamari",1102,"Macrorregiao I - Porto Velho"
110028,"Rolim de Moura","RO","Norte",11005,"Zona da Mata",1101,"Macrorregional II (Cacoal)"
110029,"Santa Luzia D'Oeste","RO","Norte",11005,"Zona da Mata",1101,"Macrorregional II (Cacoal)"
110030,"Vilhena","RO","Norte",11006,"Cone Sul",1101,"Macrorregional II (Cacoal)"
110032,"São Miguel do Guaporé","RO","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)"
110033,"Nova Mamoré","RO","Norte",11004,"Madeira-Mamoré",1102,"Macrorregiao I - Porto Velho"
110034,"Alvorada D'Oeste","RO","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)"
110037,"Alto Alegre dos Parecis","RO","Norte",11005,"Zona da Mata",1101,"Macrorregional II (Cacoal)"
110040,"Alto Paraíso","RO","Norte",11001,"Vale do Jamari",1102,"Macrorregiao I - Porto Velho"
110045,"Buritis","RO","Norte",11001,"Vale do Jamari",1102,"Macrorregiao I - Porto Velho"
110050,"Novo Horizonte do Oeste","RO","Norte",11005,"Zona da Mata",1101,"Macrorregional II (Cacoal)"
110060,"Cacaulândia","RO","Norte",11001,"Vale do Jamari",1102,"Macrorregiao I - Porto Velho"
110070,"Campo Novo de Rondônia","RO","Norte",11001,"Vale do Jamari",1102,"Macrorregiao I - Porto Velho"
110080,"Candeias do Jamari","RO","Norte",11004,"Madeira-Mamoré",1102,"Macrorregiao I - Porto Velho"
110090,"Castanheiras","RO","Norte",11005,"Zona da Mata",1101,"Macrorregional II (Cacoal)"
110092,"Chupinguaia","RO","Norte",11006,"Cone Sul",1101,"Macrorregional II (Cacoal)"
110094,"Cujubim","RO","Norte",11001,"Vale do Jamari",1102,"Macrorregiao I - Porto Velho"
110100,"Governador Jorge Teixeira","RO","Norte",11003,"Central",1102,"Macrorregiao I - Porto Velho"
110110,"Itapuã do Oeste","RO","Norte",11004,"Madeira-Mamoré",1102,"Macrorregiao I - Porto Velho"
110120,"Ministro Andreazza","RO","Norte",11002,"Café",1101,"Macrorregional II (Cacoal)"
110130,"Mirante da Serra","RO","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)"
110140,"Monte Negro","RO","Norte",11001,"Vale do Jamari",1102,"Macrorregiao I - Porto Velho"
110143,"Nova União","RO","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)"
110145,"Parecis","RO","Norte",11005,"Zona da Mata",1101,"Macrorregional II (Cacoal)"
110146,"Pimenteiras do Oeste","RO","Norte",11006,"Cone Sul",1101,"Macrorregional II (Cacoal)"
110147,"Primavera de Rondônia","RO","Norte",11002,"Café",1101,"Macrorregional II (Cacoal)"
110148,"São Felipe D'Oeste","RO","Norte",11002,"Café",1101,"Macrorregional II (Cacoal)"
110149,"São Francisco do Guaporé","RO","Norte",11007,"Vale do Guaporé",1101,"Macrorregional II (Cacoal)"
110150,"Seringueiras","RO","Norte",11007,"Vale do Guaporé",1101,"Macrorregional II (Cacoal)"
110155,"Teixeirópolis","RO","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)"
110160,"Theobroma","RO","Norte",11003,"Central",1102,"Macrorregiao I - Porto Velho"
110170,"Urupá","RO","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)"
110175,"Vale do Anari","RO","Norte",11003,"Central",1102,"Macrorregiao I - Porto Velho"
110180,"Vale do Paraíso","RO","Norte",11003,"Central",1101,"Macrorregional II (Cacoal)"
120001,"Acrelândia","AC","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC"
120005,"Assis Brasil","AC","Norte",12001,"Alto Acre",1201,"MACro Unica - AC"
120010,"Brasiléia","AC","Norte",12001,"Alto Acre",1201,"MACro Unica - AC"
120013,"Bujari","AC","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC"
120017,"Capixaba","AC","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC"
120020,"Cruzeiro do Sul","AC","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC"
120025,"Epitaciolândia","AC","Norte",12001,"Alto Acre",1201,"MACro Unica - AC"
120030,"Feijó","AC","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC"
120032,"Jordão","AC","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC"
120033,"Mâncio Lima","AC","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC"
120034,"Manoel Urbano","AC","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC"
120035,"Marechal Thaumaturgo","AC","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC"
120038,"Plácido de Castro","AC","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC"
120039,"Porto Walter","AC","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC"
120040,"Rio Branco","AC","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC"
120042,"Rodrigues Alves","AC","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC"
120043,"Santa Rosa do Purus","AC","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC"
120045,"Senador Guiomard","AC","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC"
120050,"Sena Madureira","AC","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC"
120060,"Tarauacá","AC","Norte",12003,"Juruá e Tarauacá/Envira",1201,"MACro Unica - AC"
120070,"Xapuri","AC","Norte",12001,"Alto Acre",1201,"MACro Unica - AC"
120080,"Porto Acre","AC","Norte",12002,"Baixo Acre e Purus",1201,"MACro Unica - AC"
130002,"Alvarães","AM","Norte",13008,"Triângulo",1302,"Oeste"
130006,"Amaturá","AM","Norte",13009,"Alto Solimões",1302,"Oeste"
130008,"Anamã","AM","Norte",13002,"Rio Negro e Solimões",1304,"Central"
130010,"Anori","AM","Norte",13002,"Rio Negro e Solimões",1304,"Central"
130014,"Apuí","AM","Norte",13003,"Rio Madeira",1303,"Leste"
130020,"Atalaia do Norte","AM","Norte",13009,"Alto Solimões",1302,"Oeste"
130030,"Autazes","AM","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central"
130040,"Barcelos","AM","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central"
130050,"Barreirinha","AM","Norte",13005,"Baixo Amazonas",1303,"Leste"
130060,"Benjamin Constant","AM","Norte",13009,"Alto Solimões",1302,"Oeste"
130063,"Beruri","AM","Norte",13002,"Rio Negro e Solimões",1304,"Central"
130068,"Boa Vista do Ramos","AM","Norte",13005,"Baixo Amazonas",1303,"Leste"
130070,"Boca do Acre","AM","Norte",13006,"Regional Purus",1304,"Central"
130080,"Borba","AM","Norte",13003,"Rio Madeira",1303,"Leste"
130083,"Caapiranga","AM","Norte",13002,"Rio Negro e Solimões",1304,"Central"
130090,"Canutama","AM","Norte",13006,"Regional Purus",1304,"Central"
130100,"Carauari","AM","Norte",13007,"Regional Juruá",1302,"Oeste"
130110,"Careiro","AM","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central"
130115,"Careiro da Várzea","AM","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central"
130120,"Coari","AM","Norte",13002,"Rio Negro e Solimões",1304,"Central"
130130,"Codajás","AM","Norte",13002,"Rio Negro e Solimões",1304,"Central"
130140,"Eirunepé","AM","Norte",13007,"Regional Juruá",1302,"Oeste"
130150,"Envira","AM","Norte",13007,"Regional Juruá",1302,"Oeste"
130160,"Fonte Boa","AM","Norte",13009,"Alto Solimões",1302,"Oeste"
130165,"Guajará","AM","Norte",13007,"Regional Juruá",1302,"Oeste"
130170,"Humaitá","AM","Norte",13003,"Rio Madeira",1303,"Leste"
130180,"Ipixuna","AM","Norte",13007,"Regional Juruá",1302,"Oeste"
130185,"Iranduba","AM","Norte",13001,"Manaus e Alto Rio Negro",1304,"Central"
130190,"Itacoatiara","AM","Norte",13004,"Médio Amazonas",1303,"Leste"
130195,"Itamarati","AM","Norte",13007,"Regional Juruá",1302,"Oeste"
130200,"Itapiranga","AM","Norte",13004,"Médio Amazonas",1303,"Leste"
